id,name,government,description,image_url
COL-00056,Historical Cairo,Cairo,"City of the Thousand Minarets
General Gawhar al-Siqilli successfully invaded Egypt by order of Fatimid caliph al-Mu’izz li-Din Allah in (358 AH / 969 AD), thus starting the Fatimid Period in Egypt (358 - 567 AH/ 969 - 1171 AD). Here, he founded a new capital for the Fatimid Caliphate: Cairo (al-Qahira “the Victorious”), which thus became the fourth capital in Egypt’s Islamic Period, after al-Fustat, al-‘Askar, and al-Qatai‘. He established this new capital to the northeast of its predecessor, al-Qatai‘. Gawhar commissioned al-Azhar mosque in (359 AH/ 970 AD). This was Cairo’s first congregational mosque, and the fourth in Islamic Egypt. The urban plan of Cairo was rectangular in shape, with al-Mu‘izz Street running north-south through its center. The city’s ramparts had eight gates, with two on each side. These were al-Nasr and al-Futuh on the north, al-Barqiyya and al-Qarratin on the east, Zuwaila and al-Farag on the south, and al-Qantara and Sa‘ada on the west. During the Ayyubid Period (567- 648 AH/1171 - 1250 AD), Saladin ordered the construction of the Citadel in (572 AH / 1176 AD) so it could act as both a fortress and as headquarters.
 Cairo entered an unprecedented age of growth and prosperity during the Mamluk Period (648 - 923 AH/ 1250 - 1517 AD). New neighborhoods, such as Bab al-Luq, were built, as were a number of mosques, madrasas (schools), khanqas (hostels for Sufis), wikalas (caravanserais), forts, and sabils (public drinking fountains).
 Al-Fustat – Al-‘Askar – Al-Qata’i
Islam came to Egypt with the conquest of Amr ibn al-‘Aas in (19 AH/ 640 AD). He established a new capital, al-Fustat, with its mosque in (21 AH/ 642 AD). Al-Fustat continued to serve as Egypt’s capital throughout the Umayyad period (38 - 132 AH/ 658 - 750 AD). Then Egypt succumbed to Abbasid rule (132 - 254 AH/750 - 868 AD), centred in Baghdad. The second capital of Islamic Egypt was moved to al-‘Askar. The Abbasids suffered a process of decentralization. Consequently, Egypt was able to gain its independence for the first time during the Islamic period. Its now autonomous ruler, Ahmad Ibn Tulun, founded the Tulunid Dynasty (254 - 292 AH/868 - 905 AD) and established Egypt’s third capital, al-Qata’i. Ibn Tulun’s successors, however, were unable to preserve this independence state for long, which had in its apex extended its rule over the Levant and parts of the northern Arabian Peninsula. The Abbasids once more gained control over Egypt, reverting the capital from al-Qata’i to al-Fustat. Egypt became a subordinate province to the Abbasid Caliphate, which ruled from its headquarters in Baghdad. By then, a new ruling dynasty had emerged in Egypt: the Ikhshids (322 - 358 AH/ 835 - 969 AD).","https://egymonuments.gov.eg/media/6748/ai_image-14edit.jpg?center=0.40517241379310343,0.47222222222222221&mode=crop&width=645&height=423&rnd=134158021940000000"
COL-00057,Holy Qura'n,Cairo,,"https://egymonuments.gov.eg/media/7128/%D9%85%D8%B5%D8%AD%D9%81.jpg?crop=0.10263910806615116,0.1392635932601011,0.072582344973705568,0.11348270759796097&cropmode=percentage&width=645&height=423&rnd=132657668260000000"
COL-00058,Household utensils,Alexandria,"A collection of household utensils from gold and diamonds
Date : Mohammed Ali dynasty
Medium: gold and diamonds
Provenance :Egypt",https://egymonuments.gov.eg/media/4392/s14-14l.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132581519590000000
COL-00059,Icon of Saint Antony and Saint Paul,Cairo,"This famous icon represents the visit of Saint Antony (on the left) to Saint Paul, who lived  in the eastern desert near the Red Sea.","https://egymonuments.gov.eg/media/2666/g75a3519.jpg?center=0.37398373983739835,0.51219512195121952&mode=crop&width=645&height=423&rnd=133818639500000000"
COL-00060,Icon of Saint George,Cairo,"In Coptic art, the theme of military saints is often repeated and illustrated in different forms. It signifiesfaith, courage, and persistence and is a symbol of the triumph of good over evil., attached to it separately. St. George, wearing military garments and riding his white horse,. With his cross-lance, he is slaying the dragon,
Saint George, greatest of the martyrs”.
18th–19th centuries A.D.
Medium: Painted on linen, fixed to a wooden painted
Provenance: unknown.","https://egymonuments.gov.eg/media/6481/cap241.jpg?crop=0,0.14418125643666324,0,0.18041817354441589&cropmode=percentage&width=645&height=423&rnd=132581519530000000"
COL-00061,Icon of the Holy Family’s flight into Egypt,Cairo,"This icon depicts the flight of the Holy Family into Egypt. The Virgin Mary is riding a white horse, while Jesus can be seen sitting on St. Joseph’s right shoulder.
Date: 18th century AD
Medeuim:Wood
","https://egymonuments.gov.eg/media/5945/dsc.jpg?center=0.4,0.5901639344262295&mode=crop&width=645&height=423&rnd=134212371060000000"
COL-00062,Illustrated manuscript,Cairo,,"https://egymonuments.gov.eg/media/7127/%D9%85%D8%AE%D8%B7%D9%88%D8%B7-%D9%85%D8%B5%D9%88-%D8%B1.jpg?crop=0.10810810810810811,0.11999422464093749,0.13175675675675674,0.16478737054071094&cropmode=percentage&width=645&height=423&rnd=132657661740000000"
COL-00063,Incense Burner,Cairo,"Incense burner made of a copper alloy inlaid with gold and silver.
Mamluk Period, 8th century AH / 14th century AD
Medium: Copper, gold, silver
Provenance: Egypt","https://egymonuments.gov.eg/media/4707/piece2_1.jpg?crop=0,0.035971223021582732,0,0.020411577714572429&cropmode=percentage&width=645&height=423&rnd=132581519580000000"
COL-00064,Indian Hall(Bayt al-Kritliyya).,Cairo,"Contains a table, some Indian style chairs and some decorative boxes.","https://egymonuments.gov.eg/media/6656/gayer-anderson-museum-05182020_163215.jpg?center=0.60526315789473684,0.48148148148148145&mode=crop&width=645&height=423&rnd=134163981070000000"
COL-00065,Iron Sufis hand-bag “Kashkoul”,Cairo,"Iron Sufis hand-bag “Kashkoul” Iran – Safavid, 11- 12th A.H/ 17-18th A.D Century. 
""The term “Kashkoul” is a utensil for Sufis just like a hand bag he can use during his trips. It has several uses, however, it has a symbolic significance means the survival ship, transferring him safety to the hereafter.",https://egymonuments.gov.eg/media/2458/upload_product_entity_db_product_mainimage_e4cd683c21d24d90b69a59440047b44d.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132485646460000000
COL-00066,Ivory comb,Cairo,"In Egypt the use of combs can be traced back more than five thousand years when they included in burials of both men and women, a custom that continued well into the Byzantine times when some burials document the practice of placing a comb on the chest of the deceased. Wood was the most common material used for making combs, Ivory examples like this one was luxury items, some perhaps intended for liturgical use.
This ivory comb, from the Byzantine Era (330 A.D.- 641 A.D.) with its fine quality and decoration suggests that it was rather used in a liturgical context than for every-day purposes. The central panel on one side shows two angles support a wreath inside of which a warrior on horseback. On the other side of the comb two New Testament Miracles: The Raising of Lazarus and the Healing of the Blind.
6th century A.D.
Medium: Ivory
Provenance:  Deir Abu Hinnis, Minya","https://egymonuments.gov.eg/media/6275/coptic-museum1.jpg?center=0.45180722891566266,0.497737556561086&mode=crop&width=645&height=423&rnd=134200354000000000"
COL-00067,Jug and basin,Cairo,,"https://egymonuments.gov.eg/media/7124/%D8%A5%D8%A8%D8%B1%D9%8A%D9%82-%D9%88%D8%B7%D8%B3%D8%AA.jpg?center=0.4041095890410959,0.5&mode=crop&width=645&height=423&rnd=132657643830000000"
COL-00068,Khafre Statue,Cairo,"This statue depicts King Khafre (Khefren to the Greeks), the builder of the second largest pyramid at Giza. It was found in the valley temple of his pyramid complex. The king is majestically seated on a throne with all the confidence of a man who built a mountain. The two sides of his throne are decorated with the sema-tawy, symbol of the unity of Upper and Lower Egypt, signifying his rule over the two halves of the country. Perched on the back of the throne, behind the king's head, the god Horus in the form of a falcon spreads his wings around the king's head in a gesture of protection.
Old Kingdom, 4th Dynasty, reign of Khafre (c.2558–2532 BC)
Medium: Diorite
Provenance: Giza","https://egymonuments.gov.eg/media/3725/1.jpg?center=0.5,0.5036496350364964&mode=crop&width=645&height=423&rnd=134230620770000000"
COL-00069,Khedivial Cairo,Cairo,"Paris of the East
After a long period of decline, Egypt, especially Cairo, witnessed a new era when Muhammad Ali Pasha, the founder of modern Egypt, started his rule in 1805. He shortly began extensive development projects throughout the country. Muhammad Ali’s efforts established the foundations for his grandson, Khedive Ismail (c. 1863-1879), to initiate his own urban development projects. His visit to the “ Paris World Exhibition” in 1867 was one of city’s greatest milestones. Just as Georges-Eugène Haussmann was hired to develop Paris, Khedive Ismail charged Ali Pasha Mubarak with the task of executing a new urban plan for Cairo. Ali Pasha Mubarak himself had received an education in France, and was appointed Minister of Public Works, overseeing Cairo’s urban development. The inauguration of Suez Canal in 1869 was a pivotal stage in Cairo’s development. The old city was left intact, while a new westernized city was developed in parallel to the west, encircling the old one from the north. The “new” city was developed and equipped with spacious squares, bridges, gardens, and lavish palaces. One of its most famous buildings was the khedival Opera, which was a smaller model of Milan’s “Teatro alla Scala”. The city also contained the largest national library in the region. With the turn of the century, Cairo underwent such a transformation as to reflect diverse architectural traditions, bringing together the expertise of French, Italian, German, and Egyptian engineers.","https://egymonuments.gov.eg/media/6746/1612173756942edit.jpg?center=0.26506024096385544,0.502262443438914&mode=crop&width=645&height=423&rnd=134158039060000000"
COL-00070,Khufu Statue,Cairo,"This statue depicts King Khufu (known to the Greeks as Cheops), the builder of the Great Pyramid of Giza. Ironically, this small, 7.5‑cm‑tall, statuette is the only confirmed contemporary three‑dimensional of this king. When it was first discovered, the head was missing. Noticing that the break was recent, Sir Flinders Petrie, aware of the importance of the find, ordered a search for the missing head, which was finally discovered three weeks later.
Old Kingdom, 4th Dynasty, reign of Khufu (c.2589–2566 BC)
Medium: Ivory
Provenance: Abydos","https://egymonuments.gov.eg/media/2787/kh.jpg?crop=0,0.1458854166666666,0.0000000000000003789561257387,0.36225411821705444&cropmode=percentage&width=645&height=423&rnd=132581519660000000"
COL-00071,Kohl Container,Cairo,"Ivory kohl""Eyeliner""container, inlaid with mother-of-pearl.
Period:  Mamluk or ottoman.
 Date:  9th -10th A.H / 15th-16th A.D century.
 Provinene: Egypt",https://egymonuments.gov.eg/media/4671/img_4090.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132581519580000000
COL-00072,Lekythos (perfume bottle),Alexandria,"A bottle-shaped vessel with black glaze and a depiction of a crouching animal. The neck is narrow, the spout is broken and missing, and there is one handle. The base is circular and parts of the glaze are missing.
Medium:Terre_cuite
Date:5°/4° c. B.C (-400/-375)
 Provenance: Heracleion
",https://egymonuments.gov.eg/media/8889/picture10.jpg?anchor=center&mode=crop&width=645&height=423&rnd=133994720410000000
COL-00073,Lintel depicting Jesus Christ’s entry into Jerusalem,Cairo,"This rectangular lintel is beautifully and intricately decorated with raised relief depicting Jesus Christ’s entry into Jerusalem. This is when He entered the city, humbly riding a donkey, as crowds joyfully received Him. This event is commemorated annually on the seventh Sunday of Lent (the period of fasting between Ash Wednesday and Easter), which is known as Palm Sunday.
Date:4th or 5th century A.D.
Medium: Wood.
Provenance:Hanging Church - Old Cairo.","https://egymonuments.gov.eg/media/5951/page69-1003-full.jpg?center=0.7678571428571429,0.41803278688524592&mode=crop&width=645&height=423&rnd=134206413770000000"
COL-00074,Lustreware,Cairo,"Lustreware
 Date: Fatimid Period, AH 358-567 / AD 969-1169
Mideum: pottery
Provenance: unknown","https://egymonuments.gov.eg/media/6217/dsc_9583-%D8%B9%D9%85%D8%A7%D8%AF.jpg?crop=0.095789669747116543,0.11706654426644955,0.075261265133605676,0.068536568574017437&cropmode=percentage&width=645&height=423&rnd=133827218420000000"
COL-00075,Luxurious Desk Set,Alexandria,"This luxurious desk set consists of three gold inkwells, one gold vessel for the sponge, one double pen case, one pair steel scissors, one ebony ruler pen, one envelope opener, one vessel for sand stones. These items go in a wooden box is decorated with 166 brilliant diamonds.
Collection owner: Said Toson
Date: Muhammad Ali Dynasty
Provenance: Egypt","https://egymonuments.gov.eg/media/4496/%D8%A7%D9%84%D9%85%D8%AC%D9%85%D9%88%D8%B9%D9%87.jpg?center=0.45454545454545453,0.51006711409395977&mode=crop&width=645&height=423&rnd=134218487790000000"
COL-00076,Marble Bust of Arsinoe III,Cairo,"A royal portrait represents Arsinoe III, sister and wife of Ptolemy IV Philopator, showing the melon-frizur hairstyle, which was particular to Aphrodite and then very common with Ptolemaic queens. The bust format suggests its insertion into a statue-body carved in other material, perhaps from a royal Ptolemaic cult edifice. Many Ptolemaic kings honored the gods of Tell Basta, and even dedicated “Bubasteion"" Temple of goddess Bastet in Alexandria.
Ptolemaic Period : 221-185 BC
Medium: Marble.
provenance: Eastern delta , Tell Basta ( Zagazing)","https://egymonuments.gov.eg/media/6476/cap521.jpg?center=0.3639705882352941,0.497737556561086&mode=crop&width=645&height=423&rnd=134176111540000000"
COL-00077,Masks of Yuya and Thuya,Cairo,"The mummies of Yuya and Thuya were discovered wearing these cartonnage masks covered with gold leaf. Yuya was the father of Queen Tiye, wife of king Amenhotep III, and husband of Thuya. Yuya came from the town of Akhmim, where he probably held estates and where he was a priest of the Egyptian god Min, the chief god of the area. Thuya held important religious titles, in addition to the title of the Royal Mother of the Great Wife of the King.
New Kingdom, 18th Dynasty, reign of Amenhotep III (c.1390–1352 BC)
Medium: Cartonnage, gold
Provenance: Luxor, Valley of the Kings, Tomb of Yuya and Tjuya (KV46)","https://egymonuments.gov.eg/media/3726/47812430471_12726d6288_b.jpg?crop=0,0,0.0359502403382016,0.034243047463187071&cropmode=percentage&width=645&height=423&rnd=134230613400000000"
COL-00078,Menkaura triads,Cairo,"Group statue of king Menkaura. This sculpted group statue, shows King «Menkaure» between two ladies. The goddess «Hathor» is on his right and goddess (Bat), is on his left. He wears the crown of Upper Egypt (The white crown). Goddess «Hathor» wears her usual crown, composed of the sun disk between the two cow's horns, while the other lady is wearing the symbol of her nome.
Provenance: Giza, Valley Temple of Menkaure.
Date: Old Kingdom, Dynasty 4, Reign of Menkaure (ca. 2494-2472 BC).
Medium: Grey-green Schist.","https://egymonuments.gov.eg/media/4111/untitled-9.jpg?center=0.1875,0.43859649122807015&mode=crop&width=645&height=423&rnd=134230592660000000"
COL-00079,Metal lantern,Cairo,"Metal lantern used for illuminating the carriages, the initials of Wali Said Pasha (r. 1854-1863) were engraved on the glasses.","https://egymonuments.gov.eg/media/6351/20200711-royal-carriages-museum-pre-opening-99233.jpg?crop=0.16139930098625999,0.32764375919109495,0.13109691386849073,0.10710665616640969&cropmode=percentage&width=645&height=423&rnd=132581519550000000"
COL-00080,Model of a boat,Cairo,the boat shows ten sailors. Date: Ancient Egyptian. Material: wood.,"https://egymonuments.gov.eg/media/7759/%D9%85%D8%B1%D9%83%D8%A8-%D9%81%D8%B1%D8%B9%D9%88%D9%86%D9%89.jpg?center=0.50847457627118642,0.50370370370370365&mode=crop&width=645&height=423&rnd=132892180160000000"
COL-00081,Mosque and Clock tower,Cairo,"Mosque
The exterior of the palace’s mosque is covered with various decorative   patterns and Arabic calligraphy, all carved in exquisitely well executed relief. The portal, just as elegantly decorated with reliefs, features a graceful pointed arch. On the either side of the entrance is a panel executed in beautiful calligraphy. The one on the right is the mosque’s foundation plaque, and the one on the left lists the names of the artists and craftsmen who worked on the mosque. The latter also gives the mosque’s foundation date -the year 1352 AH (1933 AD).
The interior of the mosque is rectangular divided into two sections. The minbar (pulpit) and the mihrab are located in the one in the eastern one, on the right. The kursi of the muqri (the seat of Quran reciter) is located in the western and its made of wood and decorated with gilded Quranic verses. All the walls of the mosque are covered with beautiful ceramic tiles and the ceiling here is breath.
Clock tower
The rectangular clock tower -actually the minaret of the mosque -was built the same architectural style as the late 12th-century AD minaret of Hassan Mosque in Rabat, Morocco, built by the Almohad Caliphate. The facade features a clock in the same style as the clock commissioned by Prince Muhammad Ali’s brother Khedive Abbas Helmi II (1309 -1333 AH / 1892 -1914 AD) in the Cairo Railway Station. The Tower is decorated with floral motifs in relief. The entrance is surmounted by a frieze is containing a beautiful Arabic calligraphy of the basmala, the phrase bism Allah al-Rahman al-Rahim ‘in the name of God, the Compassionate, the Merficul’. Each face of the tower also has a balcony resting on stone corbels near the top all four sides have a rectangular bar decorated with star patterns.","https://egymonuments.gov.eg/media/6084/2.jpg?crop=0.0000000000000006315935428979,0.19150202092249155,0,0.25746457165289938&cropmode=percentage&width=645&height=423&rnd=134206383750000000"
COL-00082,Mosque lamp,Cairo,"Mosque lamp containing the name , titles and the symbol of Prince Shaykhu One of the princes of Sultan Hassan. The neck is decorated with Naskh inscription, containing a Qur'anic verse from  Surat Al-Nur "" the Light"". 
Date: Mamluk period - 9H/15m century
  Mideum: Glass
  Provinence:Cairo
","https://egymonuments.gov.eg/media/1164/upload_product_entity_db_product_mainimage_c9cd95d54c203d9c81be15f61b22b6cc.jpg?crop=0,0.07956104252400549,0,0.13778032985612654&cropmode=percentage&width=645&height=423&rnd=132581519700000000"
COL-00083,Muhammad Ali Hall( Bayt Amna bint salim).,Cairo,"This hall contains a salon and two cupboards in which decorated glass crafts, some metal artifacts, chairs, small tables, a chandelier, and a picture of Muhammad Ali.",https://egymonuments.gov.eg/media/1188/%D8%A8%D9%8A%D8%AA-%D8%A2%D9%85%D9%86%D8%A9-%D8%A8%D9%86%D8%AA-%D8%B3%D8%A7%D9%84%D9%85-%D9%82%D8%A7%D8%B9%D8%A9-%D9%85%D8%AD%D9%85%D8%AF-%D8%B9%D9%84%D9%89.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132581519700000000
COL-00084,Mummy of a Man,Cairo,"The linen bandages are wrapped in an elaborate pattern consisting of rhomboid coffers. This style emerged in the Roman Period, when the art of bandaging mummies reached its peak. The head of the mummy is covered with a gilded funerary mask made of cartonnage (a mixture of linen, glue, and plaster). A winged sun disk, symbol of rebirth, adorns the forehead. The eyes and eyebrows are inlaid.
Roman Period, 1st–2nd centuries A.D.
Medium: Linen, cartonnage, paint, gold
provenance: Faiyum, Fag al-Gamus","https://egymonuments.gov.eg/media/6465/cap103.jpg?crop=0,0.017507185785210246,0,0&cropmode=percentage&width=645&height=423&rnd=134176121260000000"
COL-00085,Naos of the Decades,Alexandria,"Part of a black basalt slab with a hieroglyphic inscription on one side. It represents part of a sarcophagus.
Date: 380-362 B.C.E
Medium: Black granite
Provenance: Canope","https://egymonuments.gov.eg/media/8789/whatsapp-image-2025-08-14-at-122916-pm-29.jpeg?crop=0.089583333333333279,0,0.05270390070922041,0.0000000000000005778409009491&cropmode=percentage&width=645&height=423&rnd=133999103700000000"
COL-00086,Narmer Palette,Cairo,"The Narmer Palette contains some of the earliest hieroglyphic inscriptions ever found. It is thought to depict the unification of Upper and Lower Egypt under King Narmer. On one side, the king, wearing the Red Crown of Lower Egypt, marches in a victory procession. Below him, the necks of two mythical animals, called serpopards, intertwine, while being restrained by human figures. They are thought to represent Upper and Lower Egypt being brought under the king's control. On the other side, the king is depicted wearing the White Crown of Upper Egypt, about to smite a Lower Egyptian chief. This image of the king smiting an enemy would become iconic of ancient Egyptian kingship, and was still carved on the very last ancient Egyptian temples ever constructed.
Early Dynastic Period, 1st Dynasty, reign of Narmer (c.3100 BC)
Medium: Green schist
Provenance: Hierakonpolis","https://egymonuments.gov.eg/media/2744/palettee.jpg?crop=0.088753275152030964,0.098456128338768184,0.11470751500736706,0.060102966772102334&cropmode=percentage&width=645&height=423&rnd=132581519660000000"
COL-00087,Necklace - Governor Mohammed Ali Pasha,Alexandria,"A gold “Mohammed Ali Pasha” collar, consisting of 16 decorative motives; eight having the inscription “Mohammed Ali” and eight in the shape of gold flower with diamonds.
Date: Mohammed Ali dynasty
Medium :gold
Provenance :Egypt","https://egymonuments.gov.eg/media/1246/f7-02-07l.jpg?center=0.67213114754098358,0.17073170731707318&mode=crop&width=645&height=423&rnd=132581519690000000"
COL-00088,Nejim Ankh coffin,Cairo,"Nejim Ankh coffin made of Cartonage covered with gold foil recovered from the Metropolitan Museum from the Ptolemaic period
Medium: Cartonnage covered with gold foil
Date: Ptolemaic period
",https://egymonuments.gov.eg/media/6528/mahaaaaaa.jpg?anchor=center&mode=crop&width=645&height=423&rnd=134163987700000000
COL-00089,Offering Table of Thutmose III,Red Sea,"For the ancient Egyptians, the gods and the dead had the same needs as the living, and had to be provided constantly with food and libations. An early manifestation of this belief is the offering table, a stone slab where various food items and drinks could be placed for consumption by the deceased or the divine.
Offering tables often were made to resemble the hetep sign, the hieroglyph for offering, as this one does. The table consists of a rectangular slab, representing a mat, with a section representing a loaf of bread protruding from the middle of one side. One way of guaranteeing that offerings would be made continuously was to carve representations of food and drink and the “offering formula” onto the table itself, thus making the table eternally functional.
This example comes from Karnak Temple and belongs to one of the most powerful kings of Dynasty 18, the great warrior king Thutmose III. On the front faces of the table are images of the king kneeling to present vessels filled with liquid, and on the top surface, in place of carved items of food and drink, are forty holes to hold offerings. The titulary of the king is inscribed on the protruding part of the table, and the sides are adorned with Isis knots and djed pillars, representing protection and stability.
Luxor, Karnak Temple, Precinct of Amun, Central Court
New Kingdom, Dynasty 18, Thutmose III (ca. 1479 – 1425 BC)
Granite","https://egymonuments.gov.eg/media/6865/6j7a1319.jpg?crop=0.15653538812785392,0.28238077876079859,0.15853310502283091,0.27843521750423378&cropmode=percentage&width=645&height=423&rnd=132586484450000000"
COL-00090,Oil bottle,Cairo,a pear-shaped bottle decorated with fish scales inscriptions . Its short neck ends with a narrow spout from which the oil can be poured. Its shape is similar to a grenade. Date: Fatimid period. Material: pottery.,https://egymonuments.gov.eg/media/7812/%D9%82%D8%A7%D8%B1%D9%88%D8%B1%D8%A9-%D9%86%D9%81%D8%B7.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132892207340000000
COL-00091,Oil patinting,Cairo,Oil patinting of king fouad’s favorite donkey with a royal palace in the background.,"https://egymonuments.gov.eg/media/6444/img-20201111-wa0080.jpg?crop=0,0.071640624999999944,0.0000000000000008842309600570,0.190568677325582&cropmode=percentage&width=645&height=423&rnd=134176128110000000"
COL-00092,Osiris Statuette,Luxor,"Osiris was the god of vegetation and the underworld. He was the deity who oversaw the weighing of the heart, which determined whether the deceased was worthy of admittance into the afterlife. For this reason, he was revered by the deceased, and statuettes such as this one were made to be placed in tombs. Another reason for this veneration are the stories of the death of Osiris, his mummification and subsequent transition to the afterlife, an outcome which every human hoped to emulate.","https://egymonuments.gov.eg/media/4636/59.jpg?crop=0,0,0.1909385113268609,0.39128816806663191&cropmode=percentage&width=645&height=423&rnd=134212410490000000"
COL-00093,Painting,Cairo,Painting: a painting of four individuals in official uniform. They are sword bearer and the others are part of the Royal Guard.  Date: Ottoman Period. Material: Paper-oil paint.,"https://egymonuments.gov.eg/media/7801/83385418_2723671997860272_4767300766689918976_n.jpg?center=0.45454545454545453,0.43529411764705883&mode=crop&width=645&height=423&rnd=132892192560000000"
COL-00094,Pair Statue of Tjay and Naya,South Sinai,"This excellently preserved statue depicts the couple seated, and wearing fine clothes and elaborate wigs whose intricate details are faithfully portrayed by the sculptor. Naya affectionately has her right hand on her husband’s shoulder. On the back the couple is shown in relief sitting at an offering table facing the lady ""Tinr"".
New Kingdom, 18th Dynasty (c.1550–1295 BC)
Provenance: Giza, Memphite region, Saqqara
Medium: Limestone","https://egymonuments.gov.eg/media/6364/7.jpg?center=0.38541666666666669,0.60655737704918034&mode=crop&width=645&height=423&rnd=134188224310000000"
COL-00095,Palette in the form of an Antelope,Cairo,"Stone palettes were used since Egypt’s Predynastic Period to grind and mix pigments used as cosmetics and body paint, or to paint ceramics. Over time, heavily decorated and purely ceremonial palettes began to be made as well, the most famous being the Narmer Palette. This palette here takes the shape of an antelope. One of its horns is broken off.
Predynastic. ca. 3300-2960 BC
Medium: Slate.
Provenance: Eastern Delta, al-Mansoura.

","https://egymonuments.gov.eg/media/6479/cap351.jpg?center=0.35714285714285715,0.53846153846153844&mode=crop&width=645&height=423&rnd=134170140960000000"
COL-00096,Pitcher Belonging to Tabtaq,Cairo,"A jug made of copper inlayed with silver with decorations and inscriptions in the Naskh script, represented in the titles of the owner of the jug, including “what he did in the order of the headquarters of the honorable high Mawlawi al-Adli al-Ghazi al-Mujahideen al-Murabati al-Makhdudumi al-Saifi Tabaq al-Malik al-Ashrafy.” He is one of the princes of King al-Ashraf Khalil bin Qalawun. It appears on the jug (logos). It bears the drawing of a cup denoting the job of the water- supplier or the drinker - the one responsible for the Sultan’s drinkies . Tabtaq became governor of the city of Qus in Upper Egypt, and the jug has a neck adorned with three ribbons, the middle of which bears Du’aa writing, and it was also provided with a lid with two hinges and a strainer placed inside it. It’s found in excavations of Qus in Upper Egypt.
Mamluk period 709-741 AH / 1309-1340 AD.
Medium: Copper inlayed  with silver.
Provenance: Egypt.",https://egymonuments.gov.eg/media/1386/271174427_665311167810148_6316734871679706987_n.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132859706810000000
COL-00097,Pocket watch,Cairo,,"https://egymonuments.gov.eg/media/7125/%D8%B3%D8%A7%D8%B9%D8%A9-%D8%AC%D9%8A%D8%A8.jpg?crop=0,0.15884304409435693,0,0.18091515126843719&cropmode=percentage&width=645&height=423&rnd=132657654910000000"
COL-00098,Porcelain statue,Cairo,Painted porcelain statue of a horseman wearing a suit on a wooden base- Made in Austria.,"https://egymonuments.gov.eg/media/6354/20200711-royal-carriages-museum-pre-opening-352.jpg?crop=0,0.21629629629629629,0,0.34649440137812226&cropmode=percentage&width=645&height=423&rnd=132581519540000000"
COL-00099,Pottery vessel,Matrouh,"Reconstructed and restored pottery vessel with two handles, decorated with exterior motifs; reassembled with portions missing from the body and neck.
  material : Faience
provenance :  Heracleion",https://egymonuments.gov.eg/media/8907/picture7.jpg?anchor=center&mode=crop&width=645&height=423&rnd=133993822110000000
COL-00100,Priest Holding Osiris-Canopus Vase,Alexandria,"A statue of a priest missing his feet and legs, carrying a canopic jar of the god Osiris, wearing a cloak covering his hands, and with a shaved head.
Date: 1st cent. B.C
Medium: Black granite
Provenance: Heracleion","https://egymonuments.gov.eg/media/8873/picture1.jpg?center=0.344,0.49549549549549549&mode=crop&width=645&height=423&rnd=133993872800000000"
COL-00101,Private Alay,Cairo,"This special Alay carriage (alayis, a Turkish word means ""regiment"" or ""battalion"") is a type of carriage named ""Berline"" after the city from which this carriage had been originated. It was a gift from French Emperor Napoleon III and his wife Empress Eugenie to Khedive Ismail on the occasion of the Suez Canal inauguration in 1869.
It is a four-wheeled, enclosed ceremonial carriage. It has two bench seats facing each other and an elevated front seat for the coachman, in addition to a rear leather platform for the groom. It was pulled by eight horses headed by a ninth horse for the guide. It was accompanied by a regular Alay and two half-Alay carriages and was served by fourteen persons: one guide, two postilions, one coachman, two Grooms and eight Qumshagis (footmen).
King Farouk I ordered to be renewed and used it in Parliament in 1942. It was also used in wedding ceremonies, the most famous of which was King Farouk's wedding to Queen Farida in 1938.
Khedive Ismail met the beautiful Eugenie during his studies in France; Then he surprised that she became Empress of France, and when Suez Canal inauguration, he invited her to attend the inauguration and built for her Gezira Palace (Marriott Hotel) in Zamalek  with French style as a mirror image of Tuileries Palace so feels that she is still in France. Khedive Ismail also ordered to establish Jabaliya Garden for Empress to enjoy, and when Eugenie departed after the inauguration of Suez Canal, he presented a bedroom from pure gold to her. Empress has been visiting Egypt annually after the death of Khedive Ismail and begins her visiting in Cairo by visit widows of Khedive Ismail, and all places she visited with him and visiting his grave in Al-Rifai Mosque.","https://egymonuments.gov.eg/media/7712/whatsapp-image-2020-11-01-at-104854-am.jpeg?crop=0.2466994167304721,0,0.21123640287056869,0.4671763886585471&cropmode=percentage&width=645&height=423&rnd=132847615560000000"
COL-00102,Psalter,Cairo,"The first complete version of the Psalter had been found in a cemetery dates back to early Christianity. It was placed under a child mummy.
Beni Suef
4th - 5th century A.D","https://egymonuments.gov.eg/media/3557/027_cu0275.jpg?center=0.33027522935779818,0.48780487804878048&mode=crop&width=645&height=423&rnd=134230627380000000"
